2007-2008	2008-05-11	Wigan Athletic	0	NULL	Manchester United	2	C. Ronaldo,33,pen;R. Giggs,80,g	The JJB Stadium
2007-2008	2008-05-11	Birmingham City	4	D. Murphy,31,g;C. Jerome,73,g;C. Jerome,89,g;F. Muamba,90,g	Blackburn Rovers	1	M.G. Pedersen,49,g	St. Andrews
2007-2008	2008-05-11	Derby County	0	NULL	Reading	4	J. Harper,15,g;D. Kitson,61,g;K. Doyle,69,g;L. Lita,90,g	Pride Park
2007-2008	2008-05-11	Everton	3	Y. Ayegbeni,28,g;J. Lescott,70,g;Y. Ayegbeni,82,pen	Newcastle United	1	M. Owen,47,pen	Goodison Park
2007-2008	2008-05-11	Sunderland	0	NULL	Arsenal	1	T. Walcott,24,g	Stadium of Light
2007-2008	2008-05-11	Tottenham Hotspur	0	NULL	Liverpool	2	A. Voronin,69,g;F. Torres,74,g	White Hart Lane
2007-2008	2008-05-11	West Ham United	2	N. Solano,8,g;D. Ashton,88,g	Aston Villa	2	A. Young,14,g;G. Barry,58,g	Upton Park
2007-2008	2008-05-11	Middlesboro	8	S. Downing,16,pen;A. Alves,37,g;S. Downing,58,g;A. Alves,60,g;A. Johnson,70,g;F. Rochemback,80,g;J. Aliadiere,85,g;A. Alves,90,g	Manchester City	1	E. Blumer,87,g	Riverside Stadium
2007-2008	2008-05-11	Portsmouth	0	NULL	Fulham	1	D. Murphy,76,g	Fratton Park
2007-2008	2008-05-11	Chelsea	1	A. Shevchenko,62,g	Bolton Wanderers	1	K. Davies,90,g	Stamford Bridge
2007-2008	2008-05-05	Newcastle United	0	NULL	Chelsea	2	M. Ballack,60,g;F. Malouda,82,g	St. James Park
2007-2008	2008-05-04	Liverpool	1	F. Torres,58,g	Manchester City	0	NULL	Anfield
2007-2008	2008-05-04	Arsenal	1	N. Bendtner,76,g	Everton	0	NULL	Emirates Stadium
2007-2008	2008-05-03	Blackburn Rovers	3	R.S. Cruz,45,g;J. Roberts,47,g;R.S. Cruz,77,g	Derby County	1	K. Miller,19,g	Ewood Park
2007-2008	2008-05-03	Bolton Wanderers	2	E.H. Diouf,42,g;D. Murphy,82,og	Sunderland	0	NULL	Reebok Stadium
2007-2008	2008-05-03	Manchester United	4	C. Ronaldo,3,g;C. Ronaldo,24,g;C.A. Tevez,26,g;M. Carrick,59,g	West Ham United	1	D. Ashton,28,g	Old Trafford
2007-2008	2008-05-03	Aston Villa	0	NULL	Wigan Athletic	2	L.A. Valencia,52,g;L.A. Valencia,63,g	Villa Park
2007-2008	2008-05-03	Fulham	2	B. McBride,52,g;E. Nevland,89,g	Birmingham City	0	NULL	Craven Cottage
2007-2008	2008-05-03	Middlesboro	2	C. Riggott,40,g;S. Tuncay,53,g	Portsmouth	0	NULL	Riverside Stadium
2007-2008	2008-05-03	Reading	0	NULL	Tottenham Hotspur	1	R. Keane,16,g	Madejski Stadium
2007-2008	2008-04-28	Derby County	2	J. McEveley,31,g;R. Earnshaw,77,g	Arsenal	6	N. Bendtner,25,g;R.v. Persie,39,g;E.S. Adebayor,59,g;T. Walcott,78,g;E.S. Adebayor,81,g;E.S. Adebayor,90,g	Pride Park
2007-2008	2008-04-27	Portsmouth	0	NULL	Blackburn Rovers	1	R.S. Cruz,74,g	Fratton Park
2007-2008	2008-04-27	Everton	2	P. Neville,55,g;J. Yobo,84,g	Aston Villa	2	G. Agbonlahor,80,g;J. Carew,85,g	Goodison Park
2007-2008	2008-04-26	Wigan Athletic	0	NULL	Reading	0	NULL	The JJB Stadium
2007-2008	2008-04-26	Chelsea	2	M. Ballack,45,g;M. Ballack,86,pen	Manchester United	1	W. Rooney,56,g	Stamford Bridge
2007-2008	2008-04-26	Manchester City	2	S. Ireland,10,g;B. Mwaruwari,21,g	Fulham	3	D. Kamara,70,g;D. Murphy,79,g;D. Kamara,90,g	City of Manchester Stadium
2007-2008	2008-04-26	Tottenham Hotspur	1	S. Malbranque,52,g	Bolton Wanderers	1	S. Giannakopoulos,46,g	White Hart Lane
2007-2008	2008-04-26	Birmingham City	2	M. Forssell,34,g;S. Larsson,55,g	Liverpool	2	P. Crouch,63,g;Y. Benayoun,76,g	St. Andrews
2007-2008	2008-04-26	West Ham United	2	M. Noble,10,g;D. Ashton,23,g	Newcastle United	2	O. Martins,42,g;Geremi,45,g	Upton Park
2007-2008	2008-04-26	Sunderland	3	D. Higginbotham,6,g;M. Chopra,45,g;E. Pogatetz,90,og	Middlesboro	2	S. Tuncay,4,g;A. Alves,73,g	Stadium of Light
2007-2008	2008-04-20	Newcastle United	2	M. Owen,4,g;M. Owen,45,pen	Sunderland	0	NULL	St. James Park
2007-2008	2008-04-20	Aston Villa	5	A. Young,28,g;J. Carew,42,g;J. Carew,53,g;A. Young,63,g;G. Agbonlahor,78,g	Birmingham City	1	M. Forssell,67,g	Villa Park
2007-2008	2008-04-20	Manchester City	3	D. Vassell,10,g;M. Petrov,13,g;B. Mwaruwari,74,g	Portsmouth	1	J. Utaka,24,g	City of Manchester Stadium
