2012-2013|2013-05-19|Manchester City|2|J. Rodwell-29-g;J. Rodwell-59-g|Norwich City|3|A. Pilkington-26-g;G. Holt-54-g;J. Howson-65-g|City of Manchester Stadium
2012-2013|2013-05-19|West Ham United|4|K. Nolan-23-g;R.V. Te-34-g;K. Nolan-79-g;K. Nolan-87-g|Reading|2|G. McCleary-53-g;A.L. Fondre-55-g|Upton Park
2012-2013|2013-05-19|Tottenham Hotspur|1|G. Bale-89-g|Sunderland|0||White Hart Lane
2012-2013|2013-05-19|Swansea City|0||Fulham|3|A. Kacaniklic-22-g;D. Berbatov-77-g;U. Emanuelson-90-g|The Liberty Stadium
2012-2013|2013-05-19|West Bromwich Albion|5|J. Morrison-40-g;R. Lukaku-50-g;Y. Mulumbu-81-g;R. Lukaku-81-g;R. Lukaku-86-g|Manchester United|5|S. Kagawa-6-g;J. Olsson-9-og;A. B�ttner-30-g;R.v. Persie-53-g;J. Hernandez-63-g|The Hawthorns
2012-2013|2013-05-19|Wigan Athletic|2|E. Boyce-20-g;N. Baker-45-og|Aston Villa|2|D. Bent-5-g;R. Vlaar-60-g|The JJB Stadium
2012-2013|2013-05-19|Southampton|1|R. Lambert-57-g|Stoke City|1|P. Crouch-47-g|St Mary's Stadium
2012-2013|2013-05-19|Newcastle United|0||Arsenal|1|L. Koscielny-52-g|St. James Park
2012-2013|2013-05-19|Chelsea|2|J. Mata-7-g;F. Torres-76-g|Everton|1|S. Naismith-14-g|Stamford Bridge
2012-2013|2013-05-19|Liverpool|1|P. Coutinho-23-g|Queens Park Rangers|0||Anfield
2012-2013|2013-05-14|Arsenal|4|L. Podolski-11-g;T. Walcott-63-g;L. Podolski-68-g;A. Ramsey-71-g|Wigan Athletic|1|S. Maloney-45-g|Emirates Stadium
2012-2013|2013-05-14|Reading|0||Manchester City|2|S. Ag�ero-40-g;E. Dzeko-88-g|Madejski Stadium
2012-2013|2013-05-12|Manchester United|2|J. Hernandez-39-g;R. Ferdinand-87-g|Swansea City|1|Michu-49-g|Old Trafford
2012-2013|2013-05-12|Stoke City|1|S. Nzonzi-3-g|Tottenham Hotspur|2|C. Dempsey-20-g;E.S. Adebayor-83-g|Britannia Stadium
2012-2013|2013-05-12|Fulham|1|D. Berbatov-33-g|Liverpool|3|D. Sturridge-36-g;D. Sturridge-62-g;D. Sturridge-85-g|Craven Cottage
2012-2013|2013-05-12|Everton|2|K. Mirallas-6-g;K. Mirallas-60-g|West Ham United|0||Goodison Park
2012-2013|2013-05-12|Sunderland|1|P. Bardsley-68-g|Southampton|1|J. Puncheon-76-g|Stadium of Light
2012-2013|2013-05-12|Norwich City|4|R. Snodgrass-25-g;G. Holt-62-g;G. McAuley-65-og;J. Howson-90-g|West Bromwich Albion|0||Carrow Road
2012-2013|2013-05-12|Queens Park Rangers|1|L. Remy-11-pen|Newcastle United|2|H.B. Arfa-18-pen;Y. Gouffran-35-g|Loftus Road Stadium
2012-2013|2013-05-11|Aston Villa|1|C. Benteke-14-g|Chelsea|2|F. Lampard-61-g;F. Lampard-88-g|Villa Park
2012-2013|2013-05-08|Chelsea|2|Oscar-10-g;Ramires-39-g|Tottenham Hotspur|2|E.S. Adebayor-26-g;G. Sigurdsson-80-g|Stamford Bridge
2012-2013|2013-05-07|Wigan Athletic|2|R. Espinoza-45-g;J. McCarthy-53-g|Swansea City|3|A. Rangel-50-g;I. Shechter-59-g;D. Tiendalli-76-g|The JJB Stadium
2012-2013|2013-05-07|Manchester City|1|E. Dzeko-35-g|West Bromwich Albion|0||City of Manchester Stadium
2012-2013|2013-05-06|Sunderland|1|J. O�Shea-63-g|Stoke City|1|J. Walters-9-g|Stadium of Light
2012-2013|2013-05-05|Manchester United|0||Chelsea|1|P. Jones-87-og|Old Trafford
2012-2013|2013-05-05|Liverpool|0||Everton|0||Anfield
2012-2013|2013-05-04|Fulham|2|B. Ruiz-70-g;B. Ruiz-77-g|Reading|4|H. Robson-Kanu-12-pen;H. Robson-Kanu-62-g;A.L. Fondre-75-g;J. Karacan-83-g|Craven Cottage
2012-2013|2013-05-04|West Ham United|0||Newcastle United|0||Upton Park
2012-2013|2013-05-04|Queens Park Rangers|0||Arsenal|1|T. Walcott-1-g|Loftus Road Stadium
2012-2013|2013-05-04|West Bromwich Albion|2|S. Long-29-g;G. McAuley-50-g|Wigan Athletic|3|A. Kone-39-g;J. McArthur-58-g;C. McManaman-80-g|The Hawthorns
2012-2013|2013-05-04|Tottenham Hotspur|1|G. Bale-86-g|Southampton|0||White Hart Lane
2012-2013|2013-05-04|Swansea City|0||Manchester City|0||The Liberty Stadium
2012-2013|2013-05-04|Norwich City|1|G. Holt-74-pen|Aston Villa|2|G. Agbonlahor-55-g;G. Agbonlahor-89-g|Carrow Road
2012-2013|2013-04-29|Aston Villa|6|R. Vlaar-31-g;A. Weimann-38-g;C. Benteke-55-g;C. Benteke-60-g;C. Benteke-72-g;G. Agbonlahor-88-g|Sunderland|1|D. Rose-32-g|Villa Park
2012-2013|2013-04-28|Arsenal|1|T. Walcott-2-g|Manchester United|1|R.v. Persie-44-pen|Emirates Stadium
2012-2013|2013-04-28|Chelsea|2|Oscar-44-g;F. Lampard-45-pen|Swansea City|0||Stamford Bridge
2012-2013|2013-04-28|Reading|0||Queens Park Rangers|0||Madejski Stadium
2012-2013|2013-04-27|Newcastle United|0||Liverpool|6|D. Agger-3-g;J. Henderson-17-g;D. Sturridge-54-g;D. Sturridge-60-g;F. Borini-74-g;J. Henderson-76-g|St. James Park
2012-2013|2013-04-27|Wigan Athletic|2|E. Boyce-11-g;C. McManaman-49-g|Tottenham Hotspur|2|G. Bale-9-g;E. Boyce-89-og|The JJB Stadium
2012-2013|2013-04-27|Manchester City|2|S. Ag�ero-28-g;Y. Tour�-83-g|West Ham United|1|A. Carroll-90-g|City of Manchester Stadium
2012-2013|2013-04-27|Everton|1|S. Pienaar-16-g|Fulham|0||Goodison Park
2012-2013|2013-04-27|Stoke City|1|C. Adam-46-g|Norwich City|0||Britannia Stadium
2012-2013|2013-04-27|Southampton|0||West Bromwich Albion|3|M. Fortun�-6-g;R. Lukaku-67-g;S. Long-77-g|St Mary's Stadium
2012-2013|2013-04-22|Manchester United|3|R.v. Persie-2-g;R.v. Persie-13-g;R.v. Persie-33-g|Aston Villa|0||Old Trafford
2012-2013|2013-04-21|Tottenham Hotspur|3|C. Dempsey-75-g;J. Defoe-79-g;G. Bale-82-g|Manchester City|1|S. Nasri-5-g|White Hart Lane
2012-2013|2013-04-21|Liverpool|2|D. Sturridge-52-g;L. Suarez-90-g|Chelsea|2|Oscar-26-g;E. Hazard-57-pen|Anfield
2012-2013|2013-04-20|Queens Park Rangers|0||Stoke City|2|P. Crouch-42-g;J. Walters-77-pen|Loftus Road Stadium
2012-2013|2013-04-20|Swansea City|0||Southampton|0||The Liberty Stadium
2012-2013|2013-04-20|Sunderland|1|S. Sessegnon-45-g|Everton|0||Stadium of Light
2012-2013|2013-04-20|West Ham United|2|M. Jarvis-21-g;K. Nolan-80-g|Wigan Athletic|0||Upton Park
2012-2013|2013-04-20|Norwich City|2|R. Bennett-50-g;E. Bennett-52-g|Reading|1|G. McCleary-72-g|Carrow Road
2012-2013|2013-04-20|West Bromwich Albion|1|B. Jones-64-g|Newcastle United|1|Y. Gouffran-9-g|The Hawthorns
