2011-2012|2012-05-13|Sunderland|0||Manchester United|1|W. Rooney-20-g|Stadium of Light
2011-2012|2012-05-13|West Bromwich Albion|2|S. Long-12-g;G. Dorrans-15-g|Arsenal|3|Y. Benayoun-4-g;A. Santos-30-g;L. Koscielny-55-g|The Hawthorns
2011-2012|2012-05-13|Wigan Athletic|3|F.D. Santo-12-g;E. Boyce-14-g;E. Boyce-79-g|Wolverhampton|2|M. Jarvis-9-g;S. Fletcher-86-g|The JJB Stadium
2011-2012|2012-05-13|Swansea City|1|D. Graham-86-g|Liverpool|0||The Liberty Stadium
2011-2012|2012-05-13|Tottenham Hotspur|2|E.S. Adebayor-2-g;J. Defoe-63-g|Fulham|0||White Hart Lane
2011-2012|2012-05-13|Chelsea|2|J. Terry-31-g;R. Meireles-34-g|Blackburn Rovers|1|A. Yakubu-60-g|Stamford Bridge
2011-2012|2012-05-13|Manchester City|3|P. Zabaleta-39-g;S. Ag�ero-90-g;E. Dzeko-90-g|Queens Park Rangers|2|D. Cisse-48-g;J. Mackie-66-g|City of Manchester Stadium
2011-2012|2012-05-13|Stoke City|2|J. Walters-13-g;J. Walters-79-pen|Bolton Wanderers|2|M. Davies-40-g;K. Davies-45-g|Britannia Stadium
2011-2012|2012-05-13|Norwich City|2|G. Holt-8-g;S. Jackson-21-g|Aston Villa|0||Carrow Road
2011-2012|2012-05-13|Everton|3|S. Pienaar-16-g;N. Jelavic-27-g;J. Heitinga-65-g|Newcastle United|1|T. Hibbert-73-og|Goodison Park
2011-2012|2012-05-08|Liverpool|4|M. Essien-19-og;J. Henderson-25-g;D. Agger-28-g;J. Shelvey-61-g|Chelsea|1|Ramires-50-g|Anfield
2011-2012|2012-05-07|Blackburn Rovers|0||Wigan Athletic|1|A. Alcaraz-87-g|Ewood Park
2011-2012|2012-05-06|Queens Park Rangers|1|D. Cisse-89-g|Stoke City|0||Loftus Road Stadium
2011-2012|2012-05-06|Wolverhampton|0||Everton|0||Molineux Stadium
2011-2012|2012-05-06|Newcastle United|0||Manchester City|2|Y. Tour�-70-g;Y. Tour�-89-g|St. James Park
2011-2012|2012-05-06|Bolton Wanderers|2|M. Petrov-24-pen;B. Jones-72-og|West Bromwich Albion|2|C. Brunt-75-g;J. Morrison-90-g|Reebok Stadium
2011-2012|2012-05-06|Manchester United|2|P. Scholes-28-g;A. Young-41-g|Swansea City|0||Old Trafford
2011-2012|2012-05-06|Fulham|2|C. Dempsey-12-g;M. Demb�l�-35-g|Sunderland|1|P. Bardsley-34-g|Craven Cottage
2011-2012|2012-05-06|Aston Villa|1|C. Clark-35-g|Tottenham Hotspur|1|E.S. Adebayor-61-pen|Villa Park
2011-2012|2012-05-05|Arsenal|3|Y. Benayoun-2-g;R.v. Persie-72-g;R.v. Persie-80-g|Norwich City|3|W. Hoolahan-12-g;G. Holt-27-g;S. Morison-85-g|Emirates Stadium
2011-2012|2012-05-02|Chelsea|0||Newcastle United|2|P. Cisse-19-g;P. Cisse-90-g|Stamford Bridge
