2010-2011	2011-05-22	Manchester United	4	J. Park,21,g;Anderson,62,g;I. Evatt,74,og;M. Owen,81,g	Blackpool	2	C. Adam,40,g;G. Taylor-Fletcher,57,g	Old Trafford
2010-2011	2011-05-22	Newcastle United	3	S. Taylor,16,g;P. L�venkrands,39,g;J. Olsson,47,og	West Bromwich Albion	3	S. Tchoyi,62,g;S. Tchoyi,72,g;S. Tchoyi,90,g	St. James Park
2010-2011	2011-05-22	Everton	1	J. Beckford,75,g	Chelsea	0	NULL	Goodison Park
2010-2011	2011-05-22	West Ham United	0	NULL	Sunderland	3	B. Zenden,17,g;S. Sessegnon,51,g;C. Riveros,90,g	Upton Park
2010-2011	2011-05-22	Wolverhampton	2	J. O'Hara,73,g;S. Hunt,87,g	Blackburn Rovers	3	J. Roberts,22,g;B. Emerton,38,g;D. Hoilett,45,g	Molineux Stadium
2010-2011	2011-05-22	Stoke City	0	NULL	Wigan Athletic	1	H. Rodallega,78,g	Britannia Stadium
2010-2011	2011-05-22	Tottenham Hotspur	2	R. Pavlyuchenko,49,g;R. Pavlyuchenko,90,g	Birmingham City	1	C. Gardner,79,g	White Hart Lane
2010-2011	2011-05-22	Bolton Wanderers	0	NULL	Manchester City	2	J. Lescott,43,g;E. Dzeko,62,g	Reebok Stadium
2010-2011	2011-05-22	Aston Villa	1	S. Downing,33,g	Liverpool	0	NULL	Villa Park
2010-2011	2011-05-22	Fulham	2	S. Sidwell,26,g;B. Zamora,57,g	Arsenal	2	R.v. Persie,29,g;T. Walcott,89,g	Craven Cottage
2010-2011	2011-05-17	Manchester City	3	C. Tevez,14,g;J. Lescott,53,g;C. Tevez,65,g	Stoke City	0	NULL	City of Manchester Stadium
2010-2011	2011-05-15	Arsenal	1	R.v. Persie,89,g	Aston Villa	2	D. Bent,11,g;D. Bent,15,g	Emirates Stadium
2010-2011	2011-05-15	Liverpool	0	NULL	Tottenham Hotspur	2	R.v.d. Vaart,9,g;L. Modric,56,pen	Anfield
2010-2011	2011-05-15	Chelsea	2	B. Ivanovic,2,g;R. Alex,83,g	Newcastle United	2	J. Guti�rrez,10,g;S. Taylor,90,g	Stamford Bridge
2010-2011	2011-05-15	Wigan Athletic	3	C. N�Zogbia,57,g;C. Sammon,68,g;C. N�Zogbia,90,g	West Ham United	2	D. Ba,12,g;D. Ba,26,g	The JJB Stadium
2010-2011	2011-05-15	Birmingham City	0	NULL	Fulham	2	B. Hangeland,5,g;B. Hangeland,49,g	St. Andrews
2010-2011	2011-05-14	Sunderland	1	S. Sessegnon,34,g	Wolverhampton	3	J. Craddock,23,g;S. Fletcher,54,g;G. Elokobi,78,g	Stadium of Light
