2009-2010	2010-05-09	Arsenal	4	A. Arshavin,21,g;R.v. Persie,26,g;C. Baird,37,og;C. Vela,84,g	Fulham	0	NULL	Emirates Stadium
2009-2010	2010-05-09	Hull City	0	NULL	Liverpool	0	NULL	KC Stadium
2009-2010	2010-05-09	Aston Villa	0	NULL	Blackburn Rovers	1	R. Dunne,84,og	Villa Park
2009-2010	2010-05-09	Burnley	4	W. Elliott,42,g;J. Cork,54,g;M. Paterson,71,g;S. Thompson,88,g	Tottenham Hotspur	2	G. Bale,3,g;L. Modric,32,g	Turf Moor
2009-2010	2010-05-09	West Ham United	1	L.B. Morte,17,g	Manchester City	1	S.W. Phillips,21,g	Upton Park
2009-2010	2010-05-09	Bolton Wanderers	2	K. Davies,33,g;I. Klasnic,60,g	Birmingham City	1	J. McFadden,77,g	Reebok Stadium
2009-2010	2010-05-09	Manchester United	4	D. Fletcher,31,g;R. Giggs,38,g;D. Higginbotham,54,og;J. Park,84,g	Stoke City	0	NULL	Old Trafford
2009-2010	2010-05-09	Chelsea	8	N. Anelka,6,g;F. Lampard,32,pen;S. Kalou,54,g;N. Anelka,56,g;D. Drogba,63,g;D. Drogba,68,pen;D. Drogba,80,g;A. Cole,90,g	Wigan Athletic	0	NULL	Stamford Bridge
2009-2010	2010-05-09	Wolverhampton	2	K. Doyle,10,pen;A. Gu�dioura,78,g	Sunderland	1	K. Jones,8,g	Molineux Stadium
2009-2010	2010-05-09	Everton	1	D. Bilyaletdinov,90,g	Portsmouth	0	NULL	Goodison Park
2009-2010	2010-05-05	Fulham	0	NULL	Stoke City	1	M. Etherington,83,g	Craven Cottage
2009-2010	2010-05-05	Manchester City	0	NULL	Tottenham Hotspur	1	P. Crouch,82,g	City of Manchester Stadium
2009-2010	2010-05-03	Blackburn Rovers	2	D. Dunn,44,g;C.S. Veijeany,68,g	Arsenal	1	R.v. Persie,13,g	Ewood Park
2009-2010	2010-05-03	Wigan Athletic	2	V. Moses,30,g;S. Gohouri,90,g	Hull City	2	W. Atkinson,42,g;M. Cullen,64,g	The JJB Stadium
2009-2010	2010-05-02	Fulham	3	C. Dempsey,45,g;C. Cole,58,og;S.O. Chuka,79,g	West Ham United	2	C. Cole,61,g;G. Franco,90,g	Craven Cottage
2009-2010	2010-05-02	Sunderland	0	NULL	Manchester United	1	Nani,28,g	Stadium of Light
2009-2010	2010-05-02	Liverpool	0	NULL	Chelsea	2	D. Drogba,33,g;F. Lampard,54,g	Anfield
2009-2010	2010-05-01	Birmingham City	2	B. Jensen,29,og;C. Benitez,41,g	Burnley	1	S. Thompson,87,g	St. Andrews
2009-2010	2010-05-01	Tottenham Hotspur	1	T. Huddlestone,38,g	Bolton Wanderers	0	NULL	White Hart Lane
2009-2010	2010-05-01	Portsmouth	3	A. Dindane,20,g;J. Utaka,39,g;M. Brown,67,g	Wolverhampton	1	K. Doyle,35,g	Fratton Park
2009-2010	2010-05-01	Stoke City	0	NULL	Everton	0	NULL	Britannia Stadium
2009-2010	2010-05-01	Manchester City	3	C.A. Tevez,41,pen;E.S. Adebayor,43,g;C. Bellamy,89,g	Aston Villa	1	J. Carew,16,g	City of Manchester Stadium
2009-2010	2010-04-25	Aston Villa	1	J. Milner,83,pen	Birmingham City	0	NULL	Villa Park
2009-2010	2010-04-25	Burnley	0	NULL	Liverpool	4	S. Gerrard,52,g;S. Gerrard,59,g;M. Rodriguez,74,g;R. Babel,90,g	Turf Moor
2009-2010	2010-04-25	Chelsea	7	S. Kalou,24,g;S. Kalou,31,g;F. Lampard,44,pen;S. Kalou,68,g;F. Lampard,81,g;D. Sturridge,87,g;F. Malouda,89,g	Stoke City	0	NULL	Stamford Bridge
2009-2010	2010-04-25	Everton	2	C. Smalling,49,og;M. Arteta,90,pen	Fulham	1	E. Nevland,36,g	Goodison Park
2009-2010	2010-04-24	Bolton Wanderers	2	I. Klasnic,26,g;K. Davies,28,g	Portsmouth	2	A. Dindane,54,g;A. Dindane,68,g	Reebok Stadium
2009-2010	2010-04-24	Hull City	0	NULL	Sunderland	1	D. Bent,7,g	KC Stadium
2009-2010	2010-04-24	Manchester United	3	R. Giggs,58,pen;Nani,81,g;R. Giggs,86,pen	Tottenham Hotspur	1	L. King,70,g	Old Trafford
2009-2010	2010-04-24	West Ham United	3	A. Ilan,31,g;R. Kovac,45,g;S. Parker,77,g	Wigan Athletic	2	J. Spector,4,og;H. Rodallega,52,g	Upton Park
2009-2010	2010-04-24	Arsenal	0	NULL	Manchester City	0	NULL	Emirates Stadium
2009-2010	2010-04-24	Wolverhampton	1	S. Ebanks-Blake,81,g	Blackburn Rovers	1	R. Nelsen,28,g	Molineux Stadium
2009-2010	2010-04-21	Hull City	0	NULL	Aston Villa	2	G. Agbonlahor,13,g;J. Milner,76,pen	KC Stadium
2009-2010	2010-04-19	Liverpool	3	Y. Benayoun,19,g;D. N`Gog,29,g;R. Green,59,og	West Ham United	0	NULL	Anfield
2009-2010	2010-04-18	Portsmouth	1	M. Brown,10,g	Aston Villa	2	J. Carew,16,g;N. Delfouneso,82,g	Fratton Park
2009-2010	2010-04-18	Wigan Athletic	3	B. Watson,80,g;T. Bramble,89,g;C. N�Zogbia,90,g	Arsenal	2	T. Walcott,41,g;M. Silvestre,48,g	The JJB Stadium
2009-2010	2010-04-17	Tottenham Hotspur	2	J. Defoe,15,pen;G. Bale,44,g	Chelsea	1	F. Lampard,90,g	White Hart Lane
2009-2010	2010-04-17	Birmingham City	0	NULL	Hull City	0	NULL	St. Andrews
2009-2010	2010-04-17	Stoke City	1	D. Kitson,13,g	Bolton Wanderers	2	M. Taylor,85,g;M. Taylor,88,g	Britannia Stadium
2009-2010	2010-04-17	Blackburn Rovers	2	S. N�Zonzi,69,g;J. Roberts,81,g	Everton	3	M. Arteta,4,pen;Y. Ayegbeni,79,g;T. Cahill,90,g	Ewood Park
2009-2010	2010-04-17	Sunderland	2	F. Campbell,25,g;D. Bent,40,g	Burnley	1	S. Thompson,82,g	Stadium of Light
2009-2010	2010-04-17	Fulham	0	NULL	Wolverhampton	0	NULL	Craven Cottage
2009-2010	2010-04-17	Manchester City	0	NULL	Manchester United	1	P. Scholes,90,g	City of Manchester Stadium
2009-2010	2010-04-14	Tottenham Hotspur	2	D. Rose,10,g;G. Bale,47,g	Arsenal	1	N. Bendtner,85,g	White Hart Lane
2009-2010	2010-04-14	Aston Villa	2	G. Agbonlahor,72,g;P. Jagielka,90,og	Everton	2	T. Cahill,23,g;T. Cahill,74,g	Villa Park
2009-2010	2010-04-14	Wigan Athletic	0	NULL	Portsmouth	0	NULL	The JJB Stadium
2009-2010	2010-04-13	Chelsea	1	N. Anelka,43,g	Bolton Wanderers	0	NULL	Stamford Bridge
2009-2010	2010-04-11	Manchester City	5	C.A. Tevez,38,pen;C.A. Tevez,40,g;E.S. Adebayor,43,g;N. Onuoha,74,g;E.S. Adebayor,88,g	Birmingham City	1	C. Jerome,42,g	City of Manchester Stadium
2009-2010	2010-04-11	Blackburn Rovers	0	NULL	Manchester United	0	NULL	Ewood Park
2009-2010	2010-04-11	Liverpool	0	NULL	Fulham	0	NULL	Anfield
2009-2010	2010-04-11	Wolverhampton	0	NULL	Stoke City	0	NULL	Molineux Stadium
2009-2010	2010-04-10	West Ham United	1	A. Ilan,51,g	Sunderland	0	NULL	Upton Park
2009-2010	2010-04-10	Hull City	1	K. Kilbane,3,g	Burnley	4	M. Paterson,35,g;G. Alexander,64,pen;G. Alexander,70,pen;W. Elliott,90,g	KC Stadium
2009-2010	2010-04-04	Fulham	2	S.O. Chuka,47,g;B. Hangeland,58,g	Wigan Athletic	1	J. Scotland,34,g	Craven Cottage
2009-2010	2010-04-04	Everton	2	D. Bilyaletdinov,24,g;Y. Ayegbeni,85,g	West Ham United	2	M.d. Costa,60,g;A. Ilan,87,g	Goodison Park
2009-2010	2010-04-04	Birmingham City	1	L. Ridgewell,56,g	Liverpool	1	S. Gerrard,47,g	St. Andrews
2009-2010	2010-04-03	Arsenal	1	N. Bendtner,90,g	Wolverhampton	0	NULL	Emirates Stadium
2009-2010	2010-04-03	Stoke City	2	R. Fuller,6,g;L. Lawrence,90,g	Hull City	0	NULL	Britannia Stadium
2009-2010	2010-04-03	Bolton Wanderers	0	NULL	Aston Villa	1	A. Young,11,g	Reebok Stadium
2009-2010	2010-04-03	Manchester United	1	F. Macheda,81,g	Chelsea	2	J. Cole,20,g;D. Drogba,79,g	Old Trafford
2009-2010	2010-04-03	Portsmouth	0	NULL	Blackburn Rovers	0	NULL	Fratton Park
2009-2010	2010-04-03	Sunderland	3	D. Bent,1,g;D. Bent,29,pen;B. Zenden,86,g	Tottenham Hotspur	1	P. Crouch,72,g	Stadium of Light
2009-2010	2010-04-03	Burnley	1	S. Fletcher,71,g	Manchester City	6	E.S. Adebayor,4,g;C. Bellamy,5,g;C.A. Tevez,7,g;P. Vieira,20,g;E.S. Adebayor,45,g;V. Kompany,58,g	Turf Moor
2009-2010	2010-03-29	Manchester City	3	C.A. Tevez,72,g;C.A. Tevez,74,g;C.A. Tevez,84,g	Wigan Athletic	0	NULL	City of Manchester Stadium
2009-2010	2010-03-28	Burnley	0	NULL	Blackburn Rovers	1	D. Dunn,20,pen	Turf Moor
2009-2010	2010-03-28	Liverpool	3	F. Torres,3,g;G. Johnson,32,g;F. Torres,60,g	Sunderland	0	NULL	Anfield
2009-2010	2010-03-27	Chelsea	7	F. Lampard,15,g;F. Lampard,44,pen;F. Malouda,57,g;F. Lampard,62,pen;F. Malouda,68,g;S. Kalou,83,g;F. Lampard,90,g	Aston Villa	1	J. Carew,29,g	Stamford Bridge
2009-2010	2010-03-27	Bolton Wanderers	0	NULL	Manchester United	4	J. Samuel,38,og;D. Berbatov,69,g;D. Berbatov,78,g;D. Gibson,82,g	Reebok Stadium
2009-2010	2010-03-27	Wolverhampton	0	NULL	Everton	0	NULL	Molineux Stadium
2009-2010	2010-03-27	Hull City	2	J. Bullard,16,pen;C. Fagan,48,g	Fulham	0	NULL	KC Stadium
2009-2010	2010-03-27	Tottenham Hotspur	2	P. Crouch,27,g;N. Kranjcar,41,g	Portsmouth	0	NULL	White Hart Lane
2009-2010	2010-03-27	West Ham United	0	NULL	Stoke City	1	R. Fuller,69,g	Upton Park
2009-2010	2010-03-27	Birmingham City	1	K. Phillips,90,g	Arsenal	1	S. Nasri,81,g	St. Andrews
2009-2010	2010-03-24	Portsmouth	0	NULL	Chelsea	5	D. Drogba,32,g;F. Malouda,50,g;F. Malouda,60,g;D. Drogba,77,g;F. Lampard,90,g	Fratton Park
2009-2010	2010-03-24	Aston Villa	1	J. Carew,30,g	Sunderland	1	F. Campbell,22,g	Villa Park
2009-2010	2010-03-24	Manchester City	0	NULL	Everton	2	T. Cahill,33,g;M. Arteta,85,g	City of Manchester Stadium
2009-2010	2010-03-24	Blackburn Rovers	2	D. Dunn,5,g;D. Dunn,67,g	Birmingham City	1	J. McFadden,55,g	Ewood Park
2009-2010	2010-03-23	West Ham United	1	G. Franco,90,g	Wolverhampton	3	K. Doyle,28,g;R. Zubar,58,g;M. Jarvis,61,g	Upton Park
2009-2010	2010-03-21	Manchester United	2	W. Rooney,12,g;J. Park,60,g	Liverpool	1	F. Torres,5,g	Old Trafford
2009-2010	2010-03-21	Fulham	1	D. Murphy,75,pen	Manchester City	2	R.S. Cruz,7,g;C.A. Tevez,36,g	Craven Cottage
2009-2010	2010-03-21	Blackburn Rovers	1	E.H. Diouf,70,g	Chelsea	1	D. Drogba,6,g	Ewood Park
2009-2010	2010-03-20	Wigan Athletic	1	H. Rodallega,90,g	Burnley	0	NULL	The JJB Stadium
2009-2010	2010-03-20	Aston Villa	2	J. Carew,16,g;J. Carew,82,g	Wolverhampton	2	J. Craddock,23,g;J. Milner,38,og	Villa Park
2009-2010	2010-03-20	Portsmouth	3	T. Smith,37,g;J. O'Hara,88,g;N. Kanu,89,g	Hull City	2	C. Folan,27,g;C. Folan,73,g	Fratton Park
2009-2010	2010-03-20	Stoke City	1	M. Etherington,64,pen	Tottenham Hotspur	2	E. Gudjohnsen,46,g;N. Kranjcar,77,g	Britannia Stadium
2009-2010	2010-03-20	Everton	2	M. Arteta,72,g;S. Pienaar,89,g	Bolton Wanderers	0	NULL	Goodison Park
2009-2010	2010-03-20	Arsenal	2	Denilson,5,g;C. Fabregas,83,pen	West Ham United	0	NULL	Emirates Stadium
2009-2010	2010-03-20	Sunderland	3	D. Bent,5,g;D. Bent,11,g;F. Campbell,88,g	Birmingham City	1	C. Jerome,60,g	Stadium of Light
2009-2010	2010-03-16	Wigan Athletic	1	G. Caldwell,27,g	Aston Villa	2	J. McCarthy,25,og;J. Milner,63,g	The JJB Stadium
2009-2010	2010-03-15	Liverpool	4	F. Torres,26,g;R. Babel,28,g;A. Aquilani,32,g;F. Torres,77,g	Portsmouth	1	N. Belhadj,88,g	Anfield
2009-2010	2010-03-14	Sunderland	1	K. Jones,9,g	Manchester City	1	A. Johnson,90,g	Stadium of Light
2009-2010	2010-03-14	Manchester United	3	W. Rooney,46,g;W. Rooney,84,g;D. Berbatov,89,g	Fulham	0	NULL	Old Trafford
2009-2010	2010-03-13	Hull City	1	J. Bullard,28,pen	Arsenal	2	A. Arshavin,14,g;N. Bendtner,90,g	KC Stadium
2009-2010	2010-03-13	Burnley	1	S. Thompson,73,g	Wolverhampton	2	M. Jarvis,26,g;C. Carlisle,47,og	Turf Moor
2009-2010	2010-03-13	Bolton Wanderers	4	J. Elmander,10,g;K. Davies,48,pen;F. Muamba,53,g;M. Taylor,69,g	Wigan Athletic	0	NULL	Reebok Stadium
2009-2010	2010-03-13	Birmingham City	2	C. Jerome,26,g;C. Gardner,52,g	Everton	2	V. Anichebe,19,g;Y. Ayegbeni,22,g	St. Andrews
2009-2010	2010-03-13	Stoke City	0	NULL	Aston Villa	0	NULL	Britannia Stadium
2009-2010	2010-03-13	Tottenham Hotspur	3	J. Defoe,45,g;R. Pavlyuchenko,55,g;R. Pavlyuchenko,85,g	Blackburn Rovers	1	C.S. Veijeany,80,g	White Hart Lane
2009-2010	2010-03-13	Chelsea	4	R. Alex,16,g;D. Drogba,56,g;F. Malouda,77,g;D. Drogba,90,g	West Ham United	1	S. Parker,30,g	Stamford Bridge
2009-2010	2010-03-10	Burnley	1	D. Nugent,52,g	Stoke City	1	T. Sanli,23,g	Turf Moor
2009-2010	2010-03-09	Portsmouth	1	N. Kanu,90,g	Birmingham City	2	C. Jerome,16,g;C. Jerome,42,g	Fratton Park
2009-2010	2010-03-09	Sunderland	4	F. Campbell,1,g;D. Bent,64,g;D. Bent,74,pen;D. Bent,88,g	Bolton Wanderers	0	NULL	Stadium of Light
2009-2010	2010-03-08	Wigan Athletic	1	H. Rodallega,35,g	Liverpool	0	NULL	The JJB Stadium
2009-2010	2010-03-07	Everton	5	M. Arteta,17,g;M. Arteta,39,g;R. Garcia,51,og;L. Donovan,82,g;J. Rodwell,86,g	Hull City	1	T. Cairney,32,g	Goodison Park
2009-2010	2010-03-06	Wolverhampton	0	NULL	Manchester United	1	P. Scholes,73,g	Molineux Stadium
2009-2010	2010-03-06	Arsenal	3	C. Fabregas,34,g;T. Walcott,60,g;A. Arshavin,90,g	Burnley	1	D. Nugent,50,g	Emirates Stadium
2009-2010	2010-03-06	West Ham United	1	A. Diamanti,88,g	Bolton Wanderers	2	K. Davies,10,g;J. Wilshere,16,g	Upton Park
2009-2010	2010-02-28	Liverpool	2	S. Gerrard,20,g;F. Torres,44,g	Blackburn Rovers	1	K. Andrews,40,pen	Anfield
2009-2010	2010-02-28	Sunderland	0	NULL	Fulham	0	NULL	Stadium of Light
2009-2010	2010-02-28	Tottenham Hotspur	2	R. Pavlyuchenko,11,g;L. Modric,28,g	Everton	1	Y. Ayegbeni,55,g	White Hart Lane
2009-2010	2010-02-27	Burnley	1	M. Paterson,31,g	Portsmouth	2	F. Piquionne,25,g;H. Yebda,76,pen	Turf Moor
2009-2010	2010-02-27	Chelsea	2	F. Lampard,42,g;F. Lampard,90,pen	Manchester City	4	C.A. Tevez,45,g;C. Bellamy,51,g;C.A. Tevez,76,pen;C. Bellamy,87,g	Stamford Bridge
2009-2010	2010-02-27	Birmingham City	1	J. McFadden,45,pen	Wigan Athletic	0	NULL	St. Andrews
2009-2010	2010-02-27	Stoke City	1	D. Pugh,8,g	Arsenal	3	N. Bendtner,32,g;T. Vermaelen,90,g;C. Fabregas,90,pen	Britannia Stadium
2009-2010	2010-02-27	Bolton Wanderers	1	Z. Knight,45,g	Wolverhampton	0	NULL	Reebok Stadium
2009-2010	2010-02-23	Manchester United	3	W. Rooney,38,g;W. Rooney,55,g;M. Owen,80,g	West Ham United	0	NULL	Old Trafford
2009-2010	2010-02-21	Fulham	2	D. Duff,59,g;B. Zamora,90,g	Birmingham City	1	C. Baird,3,og	Craven Cottage
2009-2010	2010-02-21	Manchester City	0	NULL	Liverpool	0	NULL	City of Manchester Stadium
2009-2010	2010-02-21	Blackburn Rovers	3	N. Kalinic,41,g;J. Roberts,73,g;G. Givet,84,g	Bolton Wanderers	0	NULL	Ewood Park
2009-2010	2010-02-21	Aston Villa	5	A. Young,32,g;S. Downing,56,g;S. Downing,58,g;E. Heskey,61,g;G. Agbonlahor,68,g	Burnley	2	S. Fletcher,10,g;M. Paterson,90,g	Villa Park
2009-2010	2010-02-21	Wigan Athletic	0	NULL	Tottenham Hotspur	3	J. Defoe,27,g;R. Pavlyuchenko,84,g;R. Pavlyuchenko,90,g	The JJB Stadium
2009-2010	2010-02-20	West Ham United	3	V. Behrami,3,g;C. Cole,59,g;J. Faubert,90,g	Hull City	0	NULL	Upton Park
2009-2010	2010-02-20	Everton	3	D. Bilyaletdinov,19,g;D. Gosling,76,g;J. Rodwell,90,g	Manchester United	1	D. Berbatov,16,g	Goodison Park
2009-2010	2010-02-20	Arsenal	2	N. Bendtner,27,g;C. Fabregas,90,pen	Sunderland	0	NULL	Emirates Stadium
2009-2010	2010-02-20	Wolverhampton	0	NULL	Chelsea	2	D. Drogba,40,g;D. Drogba,67,g	Molineux Stadium
2009-2010	2010-02-20	Portsmouth	1	F. Piquionne,35,g	Stoke City	2	R. Huth,50,g;S. Diao,90,g	Fratton Park
2009-2010	2010-02-17	Wigan Athletic	0	NULL	Bolton Wanderers	0	NULL	The JJB Stadium
2009-2010	2010-02-16	Stoke City	1	G. Whelan,72,g	Manchester City	1	G. Barry,85,g	Britannia Stadium
2009-2010	2010-02-10	Aston Villa	1	C. Cuellar,19,g	Manchester United	1	J. Collins,23,og	Villa Park
2009-2010	2010-02-10	Wolverhampton	1	D. Jones,27,g	Tottenham Hotspur	0	NULL	Molineux Stadium
2009-2010	2010-02-10	West Ham United	2	A. Diamanti,45,g;C. Cole,67,g	Birmingham City	0	NULL	Upton Park
2009-2010	2010-02-10	Everton	2	L. Saha,33,g;L. Saha,75,g	Chelsea	1	F. Malouda,17,g	Goodison Park
2009-2010	2010-02-10	Blackburn Rovers	1	B. Myhill,16,og	Hull City	0	NULL	Ewood Park
2009-2010	2010-02-10	Arsenal	1	A. Diaby,72,g	Liverpool	0	NULL	Emirates Stadium
2009-2010	2010-02-09	Manchester City	2	C.A. Tevez,31,pen;E.S. Adebayor,73,g	Bolton Wanderers	0	NULL	City of Manchester Stadium
2009-2010	2010-02-09	Portsmouth	1	A. Dindane,90,g	Sunderland	1	D. Bent,12,pen	Fratton Park
2009-2010	2010-02-09	Fulham	3	D. Murphy,23,g;D. Elm,31,g;B. Zamora,54,g	Burnley	0	NULL	Craven Cottage
2009-2010	2010-02-09	Wigan Athletic	1	P. Scharner,14,g	Stoke City	1	T. Sanli,74,g	The JJB Stadium
2009-2010	2010-02-07	Chelsea	2	D. Drogba,8,g;D. Drogba,23,g	Arsenal	0	NULL	Stamford Bridge
2009-2010	2010-02-07	Birmingham City	2	K. Phillips,80,g;K. Phillips,85,g	Wolverhampton	1	K. Doyle,42,g	St. Andrews
2009-2010	2010-02-06	Hull City	2	J. Altidore,31,g;G. Boateng,54,g	Manchester City	1	E.S. Adebayor,59,g	KC Stadium
2009-2010	2010-02-06	Stoke City	3	D. Higginbotham,8,g;M. Sidibe,45,g;M. Etherington,67,g	Blackburn Rovers	0	NULL	Britannia Stadium
2009-2010	2010-02-06	Manchester United	5	W. Rooney,40,g;A.V. Borre,45,og;R. Hughes,59,og;D. Berbatov,62,g;M. Wilson,69,og	Portsmouth	0	NULL	Old Trafford
2009-2010	2010-02-06	Liverpool	1	D. Kuyt,55,g	Everton	0	NULL	Anfield
2009-2010	2010-02-06	Tottenham Hotspur	0	NULL	Aston Villa	0	NULL	White Hart Lane
2009-2010	2010-02-06	Bolton Wanderers	0	NULL	Fulham	0	NULL	Reebok Stadium
2009-2010	2010-02-06	Sunderland	1	K. Jones,64,g	Wigan Athletic	1	M. Diame,20,g	Stadium of Light
2009-2010	2010-02-06	Burnley	2	D. Nugent,14,g;D. Fox,55,g	West Ham United	1	A. Ilan,81,g	Turf Moor
2009-2010	2010-02-03	Fulham	1	J. Greening,74,g	Portsmouth	0	NULL	Craven Cottage
2009-2010	2010-02-02	Hull City	1	S. Mouyokolo,30,g	Chelsea	1	D. Drogba,42,g	KC Stadium
2009-2010	2010-02-01	Sunderland	0	NULL	Stoke City	0	NULL	Stadium of Light
2009-2010	2010-01-31	Manchester City	2	E.S. Adebayor,40,g;V. Kompany,45,g	Portsmouth	0	NULL	City of Manchester Stadium
2009-2010	2010-01-31	Arsenal	1	T. Vermaelen,80,g	Manchester United	3	M. Almunia,33,og;W. Rooney,37,g;J. Park,52,g	Emirates Stadium
2009-2010	2010-01-30	Birmingham City	1	L. Ridgewell,90,g	Tottenham Hotspur	1	J. Defoe,69,g	St. Andrews
2009-2010	2010-01-30	Wigan Athletic	0	NULL	Everton	1	T. Cahill,84,g	The JJB Stadium
2009-2010	2010-01-30	Liverpool	2	D. Kuyt,37,g;K. Davies,70,og	Bolton Wanderers	0	NULL	Anfield
2009-2010	2010-01-30	Hull City	2	J.V.o. Hesselink,11,g;S. Hunt,52,pen	Wolverhampton	2	A. Gardner,49,og;M. Jarvis,67,g	KC Stadium
2009-2010	2010-01-30	Burnley	1	S. Fletcher,50,g	Chelsea	2	N. Anelka,27,g;J. Terry,82,g	Turf Moor
2009-2010	2010-01-30	Fulham	0	NULL	Aston Villa	2	G. Agbonlahor,40,g;G. Agbonlahor,44,g	Craven Cottage
2009-2010	2010-01-30	West Ham United	0	NULL	Blackburn Rovers	0	NULL	Upton Park
2009-2010	2010-01-27	Chelsea	3	F. Malouda,5,g;F. Lampard,32,g;F. Lampard,90,g	Birmingham City	0	NULL	Stamford Bridge
2009-2010	2010-01-27	Aston Villa	0	NULL	Arsenal	0	NULL	Villa Park
2009-2010	2010-01-27	Everton	2	T. Cahill,7,g;L. Donovan,19,g	Sunderland	0	NULL	Goodison Park
2009-2010	2010-01-27	Blackburn Rovers	2	M.G. Pedersen,20,g;N. Kalinic,76,g	Wigan Athletic	1	G. Caldwell,58,g	Ewood Park
2009-2010	2010-01-26	Portsmouth	1	D. Webber,76,g	West Ham United	1	M. Upson,52,g	Fratton Park
2009-2010	2010-01-26	Wolverhampton	0	NULL	Liverpool	0	NULL	Molineux Stadium
2009-2010	2010-01-26	Bolton Wanderers	1	C. Lee,35,g	Burnley	0	NULL	Reebok Stadium
2009-2010	2010-01-26	Tottenham Hotspur	2	P. Crouch,27,g;D. Bentley,60,g	Fulham	0	NULL	White Hart Lane
2009-2010	2010-01-23	Manchester United	4	W. Rooney,8,g;W. Rooney,82,g;W. Rooney,86,g;W. Rooney,90,g	Hull City	0	NULL	Old Trafford
2009-2010	2010-01-20	Arsenal	4	T. Rosicky,43,g;C. Fabregas,52,g;T. Vermaelen,65,g;A. Arshavin,85,g	Bolton Wanderers	2	G. Cahill,7,g;M. Taylor,28,pen	Emirates Stadium
2009-2010	2010-01-20	Liverpool	2	D. Kuyt,5,g;D. Kuyt,90,pen	Tottenham Hotspur	0	NULL	Anfield
2009-2010	2010-01-17	Bolton Wanderers	0	NULL	Arsenal	2	C. Fabregas,28,g;F. Merida,78,g	Reebok Stadium
2009-2010	2010-01-17	Blackburn Rovers	2	C.S. Veijeany,25,g;R. Nelsen,54,g	Fulham	0	NULL	Ewood Park
2009-2010	2010-01-17	Aston Villa	0	NULL	West Ham United	0	NULL	Villa Park
2009-2010	2010-01-16	Tottenham Hotspur	0	NULL	Hull City	0	NULL	White Hart Lane
2009-2010	2010-01-16	Manchester United	3	D. Berbatov,64,g;W. Rooney,69,g;M.B. Diouf,90,g	Burnley	0	NULL	Old Trafford
2009-2010	2010-01-16	Stoke City	1	R. Huth,90,g	Liverpool	1	S. Kyrgiakos,57,g	Britannia Stadium
2009-2010	2010-01-16	Chelsea	7	N. Anelka,8,g;F. Malouda,17,g;A. Cole,22,g;F. Lampard,34,g;M. Ballack,52,g;N. Anelka,65,g;F. Lampard,90,g	Sunderland	2	B. Zenden,56,g;D. Bent,90,g	Stamford Bridge
2009-2010	2010-01-16	Everton	2	S. Pienaar,36,g;L. Saha,45,pen	Manchester City	0	NULL	Goodison Park
2009-2010	2010-01-16	Wolverhampton	0	NULL	Wigan Athletic	2	J. McCarthy,60,g;C. N�Zogbia,73,g	Molineux Stadium
2009-2010	2010-01-11	Manchester City	4	C.A. Tevez,7,g;M. Richards,39,g;C.A. Tevez,49,g;C.A. Tevez,90,g	Blackburn Rovers	1	M.G. Pedersen,71,g	City of Manchester Stadium
2009-2010	2010-01-09	Birmingham City	1	C. Jerome,39,g	Manchester United	1	S. Dann,63,og	St. Andrews
2009-2010	2010-01-09	Arsenal	2	Denilson,28,g;T. Rosicky,90,g	Everton	2	L. Osman,12,g;S. Pienaar,81,g	Emirates Stadium
2009-2010	2010-01-05	Stoke City	3	T. Sanli,12,g;A. Diagne-Faye,34,g;M. Sidibe,37,g	Fulham	2	D. Duff,61,g;C. Dempsey,85,g	Britannia Stadium
2009-2010	2009-12-30	Manchester United	5	W. Rooney,28,g;M. Carrick,32,g;R.d. Silva,45,g;D. Berbatov,50,g;L.A. Valencia,75,g	Wigan Athletic	0	NULL	Old Trafford
2009-2010	2009-12-30	Portsmouth	1	N. Belhadj,74,g	Arsenal	4	Eduardo,28,g;S. Nasri,42,g;A. Ramsey,69,g;A. Song,81,g	Fratton Park
2009-2010	2009-12-29	Bolton Wanderers	2	I. Klasnic,20,g;K. Davies,61,g	Hull City	2	S. Hunt,71,g;S. Hunt,78,g	Reebok Stadium
2009-2010	2009-12-29	Aston Villa	0	NULL	Liverpool	1	F. Torres,90,g	Villa Park
2009-2010	2009-12-28	Everton	2	J. Vaughan,83,g;S. Pienaar,90,g	Burnley	0	NULL	Goodison Park
