2008-2009|2009-05-24|Aston Villa|1|D. Duff-38-og|Newcastle United|0||Villa Park
2008-2009|2009-05-24|Wigan Athletic|1|H.R. Martinez-26-g|Portsmouth|0||The JJB Stadium
2008-2009|2009-05-24|Arsenal|4|J. Beattie-10-og;R.v. Persie-16-pen;A. Diaby-18-g;R.v. Persie-41-g|Stoke City|1|R. Fuller-31-pen|Emirates Stadium
2008-2009|2009-05-24|Fulham|0||Everton|2|L. Osman-45-g;L. Osman-88-g|Craven Cottage
2008-2009|2009-05-24|Sunderland|2|K. Richardson-53-g;K. Jones-90-g|Chelsea|3|N. Anelka-47-g;S. Kalou-74-g;A. Cole-90-g|Stadium of Light
2008-2009|2009-05-24|Manchester City|1|F. Caicedo-8-g|Bolton Wanderers|0||City of Manchester Stadium
2008-2009|2009-05-24|Blackburn Rovers|0||West Bromwich Albion|0||Ewood Park
2008-2009|2009-05-24|West Ham United|2|C. Cole-33-g;J. Stanislas-58-g|Middlesboro|1|G. O'Neil-50-g|Upton Park
2008-2009|2009-05-24|Liverpool|3|F. Torres-31-g;A. Hutton-64-og;Y. Benayoun-81-g|Tottenham Hotspur|1|R. Keane-77-g|Anfield
2008-2009|2009-05-24|Hull City|0||Manchester United|1|D. Gibson-24-g|KC Stadium
2008-2009|2009-05-18|Portsmouth|3|J. Utaka-60-g;P. Bardsley-68-og;A. Traore-88-g|Sunderland|1|K. Jones-59-g|Fratton Park
2008-2009|2009-05-17|Chelsea|2|F. Malouda-4-g;N. Anelka-59-g|Blackburn Rovers|0||Stamford Bridge
2008-2009|2009-05-17|West Bromwich Albion|0||Liverpool|2|S. Gerrard-28-g;D. Kuyt-63-g|The Hawthorns
2008-2009|2009-05-16|Everton|3|L. Saha-38-pen;J. Yobo-48-g;L. Saha-76-g|West Ham United|1|R. Kovac-24-g|Goodison Park
2008-2009|2009-05-16|Middlesboro|1|T. Sanli-14-g|Aston Villa|1|J. Carew-57-g|Riverside Stadium
2008-2009|2009-05-16|Bolton Wanderers|1|G.R. Steinsson-26-g|Hull City|1|C. Fagan-46-g|Reebok Stadium
2008-2009|2009-05-16|Manchester United|0||Arsenal|0||Old Trafford
2008-2009|2009-05-16|Newcastle United|0||Fulham|1|D. Kamara-41-g|St. James Park
2008-2009|2009-05-16|Stoke City|2|R. Fuller-69-g;J. Beattie-76-g|Wigan Athletic|0||Britannia Stadium
2008-2009|2009-05-16|Tottenham Hotspur|2|J. Defoe-29-g;R. Keane-86-pen|Manchester City|1|V. Bojinov-65-g|White Hart Lane
2008-2009|2009-05-13|Wigan Athletic|1|H.R. Martinez-28-g|Manchester United|2|C.A. Tevez-61-g;M. Carrick-86-g|The JJB Stadium
2008-2009|2009-05-11|Newcastle United|3|S. Taylor-9-g;O. Martins-71-g;P. L�venkrands-86-g|Middlesboro|1|H. Beye-3-og|St. James Park
