time,"(-3.0, 'away')","(-3.0, 'away_smooth')","(-3.0, 'draw')","(-3.0, 'draw_smooth')","(-3.0, 'home')","(-3.0, 'home_smooth')","(-3.0, 'tot_games')","(-2.0, 'away')","(-2.0, 'away_smooth')","(-2.0, 'draw')","(-2.0, 'draw_smooth')","(-2.0, 'home')","(-2.0, 'home_smooth')","(-2.0, 'tot_games')","(-1.0, 'away')","(-1.0, 'away_smooth')","(-1.0, 'draw')","(-1.0, 'draw_smooth')","(-1.0, 'home')","(-1.0, 'home_smooth')","(-1.0, 'tot_games')","(0.0, 'away')","(0.0, 'away_smooth')","(0.0, 'draw')","(0.0, 'draw_smooth')","(0.0, 'home')","(0.0, 'home_smooth')","(0.0, 'tot_games')","(1.0, 'away')","(1.0, 'away_smooth')","(1.0, 'draw')","(1.0, 'draw_smooth')","(1.0, 'home')","(1.0, 'home_smooth')","(1.0, 'tot_games')","(2.0, 'away')","(2.0, 'away_smooth')","(2.0, 'draw')","(2.0, 'draw_smooth')","(2.0, 'home')","(2.0, 'home_smooth')","(2.0, 'tot_games')","(3.0, 'away')","(3.0, 'away_smooth')","(3.0, 'draw')","(3.0, 'draw_smooth')","(3.0, 'home')","(3.0, 'home_smooth')","(3.0, 'tot_games')"
10,0.5,0.6552080510241567,0.5,0.3338751429317776,0.0,0.0,2.0,0.7647058823529411,0.7210118329497112,0.11764705882352941,0.19064058810859544,0.11764705882352941,0.11450521351005603,17.0,0.5202156334231806,0.49998635011823334,0.22641509433962265,0.2255728312945816,0.25336927223719674,0.261159131690053,371.0,0.30745341614906835,0.30760323979298,0.19367588932806323,0.1930231917727288,0.4988706945228684,0.49936683171674007,3542.0,0.11877394636015326,0.11643360438670645,0.15900383141762453,0.1595954472167198,0.7222222222222222,0.7228599622252448,522.0,0.034482758620689655,0.020185120087442054,0.1724137931034483,0.1541030446627702,0.7931034482758621,0.8285198240592018,29.0,,,,,,,0.0
11,0.6666666666666666,0.6590009963120554,0.3333333333333333,0.33375005824497433,0.0,0.0,3.0,0.75,0.7511979509494775,0.15,0.17028117619423505,0.1,0.10277000278929607,20.0,0.5161290322580645,0.5051290012788779,0.23325062034739455,0.23123813576465793,0.2506203473945409,0.2534287066847891,403.0,0.30787037037037035,0.3076084582410421,0.19299768518518517,0.19293698698976317,0.4991319444444444,0.4994472456839954,3456.0,0.12212389380530973,0.11653496602158901,0.16106194690265488,0.1604926069173162,0.7168141592920354,0.720756245789046,565.0,0.027777777777777776,0.02359125122392439,0.1388888888888889,0.13719918625281946,0.8333333333333334,0.8393275382424725,36.0,,,,,,,0.0
12,0.6666666666666666,0.6634695001555483,0.3333333333333333,0.33355699097928926,0.0,0.0,3.0,0.8260869565217391,0.7814528232903915,0.13043478260869565,0.1501173465233266,0.043478260869565216,0.09145542830464412,23.0,0.5151515151515151,0.5102386835407755,0.24242424242424243,0.23606403655727043,0.24242424242424243,0.24631214316268976,429.0,0.3072378138847858,0.3075644575524426,0.1935007385524372,0.19283280607242642,0.49926144756277696,0.49959741696397264,3385.0,0.1264559068219634,0.11641050019722524,0.15474209650582363,0.1615967599605189,0.718801996672213,0.7188174054228933,601.0,0.023809523809523808,0.02662332223568982,0.11904761904761904,0.12026930736029609,0.8571428571428571,0.8500596729843215,42.0,,,,,,,0.0
13,0.6666666666666666,0.6687672256752151,0.3333333333333333,0.3332501326182213,0.0,0.0,3.0,0.84,0.811305657627999,0.12,0.13010791319355525,0.04,0.08112590644954225,25.0,0.5152838427947598,0.5153251989508202,0.25109170305676853,0.23977214548192144,0.2336244541484716,0.2396527098959955,458.0,0.30794802055001513,0.30754196038810033,0.19220308250226656,0.19269847171395102,0.49984889694771834,0.4997566826907381,3309.0,0.12361331220285261,0.11641831596680437,0.1600633914421553,0.1629109989246341,0.716323296354992,0.7170836049975545,631.0,0.05263157894736842,0.028521833832433924,0.08771929824561403,0.10324896217824614,0.8596491228070176,0.860705674312435,57.0,,,,,,,0.0
14,0.6666666666666666,0.675096642345303,0.3333333333333333,0.33273835121284484,0.0,0.0,3.0,0.8461538461538461,0.801487285024586,0.11538461538461539,0.11362386954854073,0.038461538461538464,0.07266007118217276,26.0,0.5218295218295218,0.5201638371400139,0.25363825363825365,0.24267911255187405,0.22453222453222454,0.23341011177457233,481.0,0.30735930735930733,0.30759204406058804,0.19202226345083487,0.1925220453988255,0.5006184291898578,0.49988543814668823,3234.0,0.1288888888888889,0.11635411970317103,0.16148148148148148,0.1644799182375644,0.7096296296296296,0.7155854454125937,675.0,0.047619047619047616,0.029297639703714986,0.07936507936507936,0.08599097880113638,0.873015873015873,0.8712752529067036,63.0,0.0,0.0,0.0,0.21761516054017754,1.0,0.782497413448223,1.0
15,0.6666666666666666,0.6829275377680577,0.3333333333333333,0.33178396086557527,0.0,0.0,3.0,0.8484848484848485,0.7934336529918221,0.09090909090909091,0.10821355185571507,0.06060606060606061,0.06546452049246912,33.0,0.5233463035019456,0.5243655914426905,0.25486381322957197,0.24524365003237686,0.22178988326848248,0.22770644804272358,514.0,0.30666666666666664,0.3077377870224336,0.19238095238095237,0.19230185874771677,0.5009523809523809,0.4999623353971866,3150.0,0.12605042016806722,0.116133688075185,0.16106442577030813,0.1662798824600736,0.7128851540616247,0.7143980296640408,714.0,0.05970149253731343,0.029470318577369013,0.05970149253731343,0.09479687041371342,0.8805970149253731,0.8793442396871659,67.0,0.0,0.0,0.5,0.20472828384998043,0.5,0.7953743753085485,2.0
16,0.75,0.6997567787606815,0.25,0.3149547309382046,0.0,0.0,4.0,0.8918918918918919,0.8052113718311631,0.08108108108108109,0.10613387671877311,0.02702702702702703,0.05832591168047744,37.0,0.5315985130111525,0.5278532101853828,0.24721189591078066,0.24756160596998458,0.2211895910780669,0.22278872935190425,538.0,0.30621542466644974,0.30797711652158144,0.19329645297754638,0.19206238293399133,0.5004881223560039,0.499963579053933,3073.0,0.12317880794701987,0.11580592863868808,0.16688741721854305,0.16822832643153773,0.7099337748344371,0.7135613881699838,755.0,0.04225352112676056,0.02936125455610006,0.04225352112676056,0.10068740502127198,0.9154929577464789,0.8826841401322072,71.0,0.0,0.0,0.2,0.1918548134842979,0.8,0.8082363056820314,5.0
17,0.75,0.7167326238232418,0.25,0.2902144733955204,0.0,0.0,4.0,0.9047619047619048,0.8154009116516363,0.07142857142857142,0.10418651667936299,0.023809523809523808,0.050130559829491474,42.0,0.5342706502636204,0.5309736044810791,0.2478031634446397,0.24954354770330242,0.2179261862917399,0.21850889705297435,569.0,0.30579613590939375,0.30829019164787236,0.19253830779480346,0.19183068057482985,0.5016655562958028,0.4998815114955746,3002.0,0.11907810499359796,0.11535468283494968,0.17157490396927016,0.1702393777077929,0.7093469910371318,0.7130374858158213,781.0,0.0375,0.029279985429942788,0.0375,0.09553104319482847,0.925,0.8869077209543225,80.0,0.0,0.0,0.2,0.17900113240165194,0.8,0.8210763607787376,5.0
18,0.75,0.7314935712495356,0.25,0.2727839452176426,0.0,0.0,4.0,0.9166666666666666,0.8264820264322001,0.0625,0.10274748011750384,0.020833333333333332,0.039662026933238864,48.0,0.5332197614991482,0.5339904135410938,0.25383304940374785,0.2509997306931528,0.21294718909710392,0.21456119680860997,587.0,0.30824495381457406,0.3086615543380825,0.19158398905234347,0.19161319312379477,0.5001710571330824,0.4997264295891545,2923.0,0.11515151515151516,0.11441215742774782,0.17333333333333334,0.17223826290119482,0.7115151515151515,0.7127921227533008,825.0,0.03333333333333333,0.029483664691992317,0.044444444444444446,0.08976902990522258,0.9222222222222223,0.8917302273964096,90.0,0.0,0.0,0.16666666666666666,0.16617800240905115,0.8333333333333334,0.8338831103864451,6.0
19,0.6666666666666666,0.7459257111950774,0.3333333333333333,0.25809079917663785,0.0,0.0,3.0,0.9183673469387755,0.8574670777490858,0.061224489795918366,0.10128932057488409,0.02040816326530612,0.03024059045864876,49.0,0.5374592833876222,0.5368946100914469,0.252442996742671,0.2519386221257691,0.21009771986970685,0.21088808014780402,614.0,0.30868503662364843,0.3091156258914375,0.19079176839902337,0.19138713413445238,0.5005231949773282,0.4994971648750155,2867.0,0.11124260355029586,0.11279167678928442,0.17751479289940827,0.17419429942466538,0.7112426035502959,0.7127571483752242,845.0,0.020833333333333332,0.029724328972799856,0.041666666666666664,0.08326710339266499,0.9375,0.8964378665774632,96.0,0.0,0.0,0.14285714285714285,0.15340161082257472,0.8571428571428571,0.8466397268759998,7.0
